code,series,gender,woo_id,display_name,muadil_orijinal,scent_family,top_notes,heart_notes,base_notes,in_stock,web_url,image_url
E-029,gold,erkek,23835,212 Men Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-029-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/29.jpg
E-075,gold,erkek,23833,Blue Label Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-075-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/75.jpg
E-070,gold,erkek,23831,Pour Homme Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-070-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/70.jpg
E-053,gold,erkek,23829,L. Red Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-053-eau-de-parfum-for-men-2/,https://elegancevipperfume.com/wp-content/uploads/2025/10/53.jpg
E-108,gold,erkek,23827,Blue Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-108-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/108.jpg
E-038,gold,erkek,23825,212 Sexy Men Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-038-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/038.jpg
E-028,gold,erkek,23823,Hilfiger Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-028-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/28.jpg
E-101,gold,erkek,23821,Green Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-101-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/101.jpg
E-094,gold,erkek,23819,Danlop Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-094-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/094.jpg
E-142,gold,erkek,23817,Eau Fraiche Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-142-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/142.jpg
E-116,gold,erkek,23813,Egoiste Platinum Edp 50 ml,,woody,,,,true,https://elegancevipperfume.com/urun/e-116-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/116.jpg
E-009,gold,unisex,23811,One Edp 50 ml,,fresh,,,,false,https://elegancevipperfume.com/urun/e-009-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/one.jpg
E-022,gold,erkek,23809,Kenz Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-022-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/22.jpg
E-095,gold,erkek,23807,Jagy Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-095-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/95.jpg
E-033,gold,erkek,23805,Pi Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/e-033-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/33-1.jpg
E-091,gold,erkek,23801,Bvlgari Man Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-091-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/91.jpg
E-027,gold,erkek,23799,Rochas Man Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-027-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/27.jpg
E-046,gold,erkek,23791,212 Vip Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-046-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/46.jpg
E-031,gold,erkek,23789,Sun Men Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-031-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/31.jpg
E-048,gold,erkek,23778,Insense Ultramarine Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-048-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/48.jpg
E-078,gold,erkek,23776,Aventus Edp 50 ml,Aventus,gourmand,,,,true,https://elegancevipperfume.com/urun/e-078-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/78.jpg
E-063,gold,erkek,23774,Sauvage Edp 50 ml,Sauvage,fresh,,,,true,https://elegancevipperfume.com/urun/e-063-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/10/e-063.jpg
E-058,gold,erkek,23772,Black XS L’Exces Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-058-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/58-1.jpg
E-057,gold,erkek,23770,Boss Edp 50 ml,Boss,fresh,,,,true,https://elegancevipperfume.com/urun/e-057-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/57-1.jpg
E-119,gold,erkek,23768,Terre d’Hermes Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-119-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/119.jpg
E-115,gold,erkek,23766,Desire For a Man Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-115-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/115.jpg
E-114,gold,erkek,23764,La Nuit de L’Homme Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-114-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/114.jpg
E-018,gold,erkek,23762,Hugo Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-018-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/huggo.jpg
E-017,gold,erkek,23750,Gentleman Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-017-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/gent.jpg
E-065,gold,erkek,23749,L’Immensité Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-065-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/lim.jpg
E-062,gold,erkek,23747,Imagination Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-062-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/imag.jpg
E-016,gold,erkek,23745,Fahrenheit Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-016-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/fah.jpg
E-014,gold,erkek,23741,Emporio He Edp 50 ml,,fresh,,,,false,https://elegancevipperfume.com/urun/e-014-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/he.jpg
E-012,gold,erkek,23739,Cool Water Edp 50 ml,,fresh,,,,false,https://elegancevipperfume.com/urun/e-012-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/cool.jpg
E-007,gold,erkek,23737,Code Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/e-007-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/code.jpg
E-004,gold,erkek,23734,Burbeery Classic Edp 50 ml,,woody,,,,true,https://elegancevipperfume.com/urun/e-004-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/burbe.jpg
E-006,gold,erkek,23732,Eros Man Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-006-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/09/eros.jpg
E-001,gold,erkek,23730,Aqua di Gio Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-001-eau-de-parfum-for-men-copy/,https://elegancevipperfume.com/wp-content/uploads/2025/09/46-1.jpg
K-184,gold,unisex,23722,Omnia Coral Edp 50 ml,,gourmand,,,,false,https://elegancevipperfume.com/urun/k-184-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/77.jpg
K-167,gold,unisex,23720,Bloom Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-167-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/78.jpg
K-158,gold,unisex,23718,Sexy Amber Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-158-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/68.jpg
K-152,gold,unisex,23716,Pink Bouquet Edp 50 ml,,gourmand,,,,false,https://elegancevipperfume.com/urun/k-152-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/66.jpg
K-148,gold,unisex,23714,Coco Noir Edp 50 ml,,oriental,,,,false,https://elegancevipperfume.com/urun/k-148-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/65.jpg
K-145,gold,unisex,23712,Angel Edp 50 ml,Angel,gourmand,,,,false,https://elegancevipperfume.com/urun/k-145-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/5-1.jpg
K-144,gold,unisex,23710,Pure Seduction Edp 50 ml,,gourmand,,,,false,https://elegancevipperfume.com/urun/k-144-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/63.jpg
K-136,gold,unisex,23708,Flower Bomb Edp 50 ml,,floral,,,,true,https://elegancevipperfume.com/urun/k-136-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/61.jpg
K-124,gold,unisex,23706,Acqua di Gioia Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-124-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/60.jpg
K-121,gold,unisex,23704,Guilty Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-121-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/59.jpg
K-116,gold,kadin,23701,Boss Intense Edp 50 ml,Boss Intense,oriental,,,,true,https://elegancevipperfume.com/urun/k-116-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/58.jpg
K-106,gold,kadin,23700,Cristobal Edp 50 ml,,oriental,,,,false,https://elegancevipperfume.com/urun/k-106-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/57.jpg
K-105,gold,kadin,23698,Code Woman Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-105-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/56.jpg
K-101,gold,unisex,23696,Sexy Graffiti Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-101-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/55.jpg
K-096,gold,kadin,23694,Addict Edp 50 ml,Addict,gourmand,,,,true,https://elegancevipperfume.com/urun/k-096-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/53.jpg
K-094,gold,kadin,23692,Lolita L. Edp 50 ml,Lolita L.,fresh,,,,true,https://elegancevipperfume.com/urun/k-094-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/52.jpg
K-092,gold,kadin,23690,Black Opium Edp 50 ml,Black Opium,gourmand,,,,true,https://elegancevipperfume.com/urun/k-092-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/51.jpg
K-091,gold,kadin,23688,Black XS Edp 50 ml,,gourmand,,,,false,https://elegancevipperfume.com/urun/k-091-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/49.jpg
K-090,gold,kadin,23686,Coco Mademoiselle Edp 50 ml,Coco Mademoiselle,oriental,,,,true,https://elegancevipperfume.com/urun/k-090-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/54.jpg
K-089,gold,kadin,23684,Light Blue Edp 50 ml,Light Blue,gourmand,,,,true,https://elegancevipperfume.com/urun/k-089-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/48.jpg
K-085,gold,kadin,23682,Absolutely Irres Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-085-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/47.jpg
K-084,gold,kadin,23680,Hypnôse Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-084-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/46.jpg
K-083,gold,kadin,23678,Olympéa Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-083-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/45.jpg
K-079,gold,kadin,23677,Bonbon Edp 50 ml,Bonbon,gourmand,,,,true,https://elegancevipperfume.com/urun/k-079-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/43.jpg
K-082,gold,kadin,23673,Alien Edp 50 ml,Alien,oriental,,,,false,https://elegancevipperfume.com/urun/k-082-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/44.jpg
K-076,gold,kadin,23671,Omnia Crystalline Edp 50 ml,,fresh,,,,false,https://elegancevipperfume.com/urun/k-076-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/42.jpg
K-075,gold,kadin,23666,Envy Me Edp 50 ml,Envy Me,gourmand,,,,true,https://elegancevipperfume.com/urun/k-075-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/41.jpg
K-074,gold,kadin,23664,212 Sexy Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-074-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/40.jpg
K-072,gold,kadin,23661,Lady Million Edp 50 ml,Lady Million,woody,,,,true,https://elegancevipperfume.com/urun/k-072-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/39.jpg
K-071,gold,kadin,23659,Lady Million Lucky Edp 50 ml,Lady Million Lucky,gourmand,,,,false,https://elegancevipperfume.com/urun/k-071-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/38.jpg
K-070,gold,kadin,23657,Boss Femme Edp 50 ml,Boss Femme,gourmand,,,,true,https://elegancevipperfume.com/urun/k-070-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/37.jpg
K-050,gold,kadin,23655,Hilton Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-050-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/2.jpg
K-068,gold,kadin,23652,Rush 2 Edp 50 ml,Rush 2,fresh,,,,true,https://elegancevipperfume.com/urun/k-068-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/36.jpg
K-186,gold,kadin,23650,Libre Edp 50 ml,Libre,oriental,,,,true,https://elegancevipperfume.com/urun/k-186-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/70.jpg
K-066,gold,kadin,23648,Magnetism Edp 50 ml,,gourmand,,,,false,https://elegancevipperfume.com/urun/k-066-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/35.jpg
K-065,gold,kadin,23646,Bright Crystal Edt 50 ml,Bright Crystal,gourmand,,,,true,https://elegancevipperfume.com/urun/k-065-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/34.jpg
K-062,gold,kadin,23644,Ralph Edt 50 ml,Ralph,gourmand,,,,true,https://elegancevipperfume.com/urun/k-062-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/33.jpg
K-058,gold,kadin,23642,Be Delicious Edp 50 ml,Be Delicious,gourmand,,,,true,https://elegancevipperfume.com/urun/k-058-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/32.jpg
K-056,gold,kadin,23640,Lacoste Femme Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-056-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/28.jpg
K-055,gold,kadin,23638,No:5 Edp 50 ml,,powdery,,,,false,https://elegancevipperfume.com/urun/k-055-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/27.jpg
K-054,gold,kadin,23636,Miss Cherie Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-054-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/26.jpg
K-053,gold,kadin,23634,212 VIP Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-053-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/25.jpg
K-047,gold,kadin,23632,Poison Girl Edp 50 ml,Poison Girl,gourmand,,,,true,https://elegancevipperfume.com/urun/k-047-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/24.jpg
K-046,gold,kadin,23630,Fancy Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-046-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/23.jpg
K-038,gold,kadin,23628,Goldea Edp 50 ml,Goldea,oriental,,,,false,https://elegancevipperfume.com/urun/k-038-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/22.jpg
K-037,gold,kadin,23626,Boss Orange Edt 50 ml,Boss Orange,gourmand,,,,true,https://elegancevipperfume.com/urun/k-037-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/21.jpg
K-035,gold,kadin,23624,Manifesto Edp 50 ml,Manifesto,oriental,,,,false,https://elegancevipperfume.com/urun/k-035-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/20.jpg
K-034,gold,kadin,23622,Amor Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-034-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/19.jpg
K-033,gold,kadin,23620,Fabulous Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-033-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/18.jpg
K-032,gold,kadin,23618,Noa Edp 50 ml,,powdery,,,,false,https://elegancevipperfume.com/urun/k-032-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/17.jpg
K-027,gold,kadin,23616,Flower Edp 50 ml,,powdery,,,,true,https://elegancevipperfume.com/urun/k-027-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/15.jpg
K-026,gold,kadin,23614,Cloey  Edp 50 ml,,powdery,,,,true,https://elegancevipperfume.com/urun/k-026-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/14.jpg
K-024,gold,kadin,23612,Body Edp 50 ml,,woody,,,,false,https://elegancevipperfume.com/urun/k-024-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/1.jpg
K-022,gold,kadin,23610,Le Classique Edp 50 ml,,oriental,,,,true,https://elegancevipperfume.com/urun/k-022-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/12.jpg
K-020,gold,kadin,23608,Sí Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-020-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/11.jpg
K-019,gold,kadin,23606,Hot Couture Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-019-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/10.jpg
K-017,gold,kadin,23604,Hypnotic Poison Edp 50 ml,,gourmand,,,,true,https://elegancevipperfume.com/urun/k-017-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/9.jpg
K-015,gold,unisex,23601,Rush Edp 50 ml,Rush,oriental,,,,true,https://elegancevipperfume.com/urun/k-015-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/8.jpg
K-013,gold,unisex,23598,She Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-013-eau-de-parfum-for-women-copy-copy/,https://elegancevipperfume.com/wp-content/uploads/2025/09/6.jpg
K-011,gold,unisex,23596,My Way Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-0011-eau-de-parfum-for-women-copy/,https://elegancevipperfume.com/wp-content/uploads/2025/09/5.jpg
K-009,gold,kadin,23594,Cool Water Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/k-009-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/GOLD-KADIN-HEPSIBURADA-WEB-SITE1200-x-1200-piksel.jpg
K-008,gold,kadin,23592,La Vie Est Belle Edp 50 ml,La Vie Est Belle,oriental,,,,true,https://elegancevipperfume.com/urun/k-008-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2025/09/3.jpg
E-040,gold,erkek,20594,E-040 Eau De Parfum For Men,,fresh,,,,true,https://elegancevipperfume.com/urun/e-040-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/02/GOLD-ERKEK-TRENDYOL-1200-x-1200-piksel-2.png
U-000,gold,unisex,20590,U-000 Eau De Parfum For Unisex,,fresh,,,,true,https://elegancevipperfume.com/urun/u-000-eau-de-parfum-for-unisex/,https://elegancevipperfume.com/wp-content/uploads/2025/02/GOLD-UNISEX-TRENDYOL-1200-x-1200-piksel-1.png
K-000,gold,kadin,20581,K-000 Eau De Parfum For Woman,,fresh,,,,true,https://elegancevipperfume.com/urun/k-000-eau-de-parfum-for-woman/,https://elegancevipperfume.com/wp-content/uploads/2025/02/GOLD-KADIN-TRENDYOL-1200-x-1200-piksel.png
E-000,gold,erkek,20537,E-000 Eau De Parfum For Men,,fresh,,,,true,https://elegancevipperfume.com/urun/e-000-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2025/02/GOLD-ERKEK-TRENDYOL-1200-x-1200-piksel-2.png
E-069,gold,erkek,17838,E-069 Eau De Parfum For Men,,fresh,,,,true,https://elegancevipperfume.com/urun/e-069-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2023/04/ELEGANCE-VIP-PERFUME-E-069.png
E-118,gold,erkek,5183,E-118 Eau De Parfum For Men,,fresh,,,,true,https://elegancevipperfume.com/urun/e-006-eros-eau-de-parfum-for-men-2/,https://elegancevipperfume.com/wp-content/uploads/2023/04/ELEGANCE-VIP-PERFUME-E-118.png
U-077,gold,unisex,4911,U-077 Gold Edition - Meyveli & Egzotik Kalıcı Unisex Parfüm (Premium Etki),,oriental,,,,true,https://elegancevipperfume.com/urun/0-077-eau-de-parfum-unisex/,https://elegancevipperfume.com/wp-content/uploads/2022/04/elegance_u-077.png
